City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
220,Tabas,IR,59.0,33.6,56.92,
221,Lompoc,US,64.4,34.64,-120.46,
222,Tolaga Bay,NZ,70.99,-38.37,178.3,
223,Khandbari,NP,61.43,27.37,87.2,
224,Avarua,CK,77.0,-21.21,-159.78,
227,Raghunathpur,IN,68.07,23.55,86.67,
228,Marsh Harbour,BS,73.06,26.54,-77.06,
229,Tual,ID,81.37,-5.67,132.75,
230,Hobyo,SO,80.33,5.35,48.53,
231,Cayenne,GF,80.6,4.93,-52.33,
232,Las Vegas,US,86.0,36.17,-115.14,
233,Tazmalt,DZ,59.0,36.39,4.4,
235,Camopi,GF,75.31,3.17,-52.32,
237,Slave Lake,CA,50.0,55.28,-114.77,
238,Mercedes,AR,68.0,-34.65,-59.43,
242,Ambilobe,MG,70.54,-13.2,49.05,
244,San Patricio,US,73.4,28.02,-97.52,
246,Victor Harbor,AU,57.99,-35.57,138.62,
248,Rio Grande,BR,61.0,-32.03,-52.1,
249,Pochutla,MX,86.0,15.74,-96.47,
252,Gat,IL,66.0,31.61,34.76,
253,Santa Isabel Do Rio Negro,BR,77.23,-0.41,-65.02,
254,Valdivia,CL,55.4,-39.81,-73.25,
257,Laguna,US,80.01,38.42,-121.42,
258,Bafra,TR,51.8,41.57,35.91,
262,Hasaki,JP,50.0,35.73,140.83,
263,Kavieng,PG,84.7,-2.57,150.8,
264,Dutse,NG,76.23,11.76,9.34,
266,Los Llanos De Aridane,ES,71.6,28.66,-17.92,
268,Flinders,AU,73.0,-34.58,150.86,
269,Esperance,AU,55.4,-33.87,121.9,
270,Knysna,ZA,64.4,-34.04,23.05,
273,Sulya,IN,78.8,12.57,75.38,
274,Ortigueira,BR,63.68,-24.21,-50.95,
278,Sibolga,ID,74.28,1.74,98.78,
280,Porto Novo,BJ,80.6,6.5,2.6,
281,Elizabeth City,US,57.2,36.29,-76.25,
283,Saldanha,ZA,59.0,-33.01,17.94,
285,Gizo,SB,84.92,-8.1,156.84,
287,Kapit,MY,74.28,2.02,112.93,
289,Mountain Home,US,66.2,43.13,-115.69,
291,Minab,IR,69.8,27.15,57.08,
292,Takoradi,GH,79.05,4.88,-1.76,
295,Phonhong,LA,70.59,18.5,102.42,
298,Kloulklubed,PW,83.32,7.04,134.26,
300,Eureka,US,68.0,40.8,-124.16,
301,Curvelo,BR,67.55,-18.76,-44.43,
304,Katsuura,JP,55.4,35.13,140.3,
306,Bintulu,MY,77.0,3.17,113.03,
307,Alyangula,AU,82.4,-13.85,136.42,
308,Mazamet,FR,51.8,43.49,2.37,
310,Adre,TD,76.3,13.47,22.2,
311,Eirunepe,BR,81.91,-6.66,-69.87,
313,Dodge City,US,77.0,37.75,-100.02,
314,Barroquinha,BR,79.83,-3.02,-41.14,
315,Porto Torres,IT,57.2,40.84,8.4,
316,Christchurch,NZ,66.99,-43.53,172.63,
317,Matara,LK,76.87,5.95,80.54,
319,Coquimbo,CL,55.4,-29.95,-71.34,
320,Paita,PE,64.31,-5.09,-81.11,
321,Gualaceo,EC,71.6,-2.9,-78.78,
322,Mori,JP,52.0,34.83,137.93,
323,Jatiroto,ID,75.74,-7.88,111.12,
324,Mayo,US,55.4,38.89,-76.51,
325,Coihaique,CL,66.2,-45.58,-72.07,
326,Hosur,IN,68.0,12.72,77.82,
327,Pemba,MZ,77.0,-12.97,40.52,
328,Namatanai,PG,85.64,-3.67,152.43,
330,Kutum,SD,70.5,14.2,24.67,
334,Waipawa,NZ,69.01,-41.41,175.52,
335,Viedma,AR,80.01,-40.81,-63.0,
338,Kalemie,CD,73.11,-5.95,29.19,
339,Sarti,GR,61.86,40.1,23.98,
340,Sterling,US,60.8,39.01,-77.43,
342,Labuhan,ID,79.16,-6.88,112.21,
343,Campbell River,CA,50.0,50.02,-125.24,
344,Hervey Bay,AU,75.99,-25.3,152.85,
346,Gamboma,CG,71.76,-1.88,15.86,
347,Phan Thiet,VN,74.35,10.93,108.1,
348,Richards Bay,ZA,72.12,-28.78,32.04,
349,Mildura,AU,73.4,-34.2,142.15,
350,Kolokani,ML,81.68,13.57,-8.03,
352,Nargana,PA,79.48,9.44,-78.59,
353,Kalmunai,LK,78.28,7.42,81.82,
354,Sibu,MY,73.4,2.3,111.82,
356,Kaduna,NG,74.68,10.52,7.44,
357,Caravelas,BR,68.09,-17.71,-39.25,
358,Yeppoon,AU,75.2,-23.13,150.73,
360,San Quintin,MX,71.33,30.48,-115.95,
361,Giyon,ET,55.44,8.53,37.98,
362,Unai,BR,70.86,-16.36,-46.91,
365,Salinopolis,BR,80.42,-0.61,-47.36,
366,Maglajani,BA,50.0,44.95,17.35,
367,Japura,ID,73.94,-0.32,102.35,
368,Ritchie,ZA,62.6,-29.04,24.6,
369,Touros,BR,80.6,-5.2,-35.46,
370,Samarai,PG,81.46,-10.62,150.67,
371,Manokwari,ID,82.63,-0.87,134.08,
373,Chicama,PE,66.85,-7.84,-79.15,
374,Lagos,NG,78.04,6.58,3.75,
375,Vangaindrano,MG,70.3,-23.35,47.6,
376,San Jose,US,81.0,37.34,-121.89,
377,Doha,QA,77.0,25.29,51.53,
378,Sioux Lookout,CA,53.6,50.1,-91.92,
381,Matay,EG,64.49,28.42,30.78,
383,Omaruru,,62.83,-21.43,15.93,
384,Maceio,BR,77.0,-9.67,-35.74,
385,Bessemer,US,68.0,33.4,-86.95,
386,Aripuana,BR,79.0,-9.17,-60.63,
387,Andilamena,MG,57.97,-17.02,48.58,
388,Palm Coast,US,70.0,29.59,-81.21,
389,Taua,BR,84.94,-5.97,-40.3,
390,Kahului,US,91.4,20.89,-156.47,
391,Lorengau,PG,85.77,-2.02,147.27,
392,Avera,US,59.0,33.19,-82.53,
395,Lucea,JM,78.8,18.45,-78.17,
396,Constitucion,CL,57.54,-35.33,-72.42,
398,Omboue,GA,76.96,-1.57,9.26,
399,Huarmey,PE,65.84,-10.07,-78.15,
400,Culebra,PR,82.4,18.3,-65.3,
402,Mossendjo,CG,71.04,-2.95,12.73,
403,Montepuez,MZ,69.55,-13.13,39.0,
404,Mamou,GN,71.24,10.5,-12.0,
406,Isangel,VU,75.92,-19.55,169.27,
409,Beloha,MG,69.57,-25.17,45.05,
410,Vila Velha,BR,69.8,-20.33,-40.29,
412,Cukai,MY,75.2,4.25,103.42,
414,Yining,CN,53.2,29.04,114.56,
417,Trincomalee,LK,79.57,8.57,81.23,
418,Mahajanga,MG,75.2,-15.72,46.32,
419,Holt,US,60.8,42.64,-84.52,
421,Talara,PE,65.07,-4.58,-81.27,
422,Vaitape,PF,80.13,-16.52,-151.75,
423,Sechura,PE,69.35,-5.56,-80.82,
424,Wlodawa,PL,55.0,51.55,23.55,
425,Progreso,MX,80.6,21.28,-89.67,
427,Wenzhou,CN,57.36,28.0,120.67,
428,Opuwo,,67.96,-18.06,13.84,
429,Itarema,BR,80.55,-2.92,-39.92,
430,Port-Gentil,GA,80.6,-0.72,8.78,
431,Maua,BR,62.6,-23.67,-46.46,
432,Nicoya,CR,77.0,10.15,-85.45,
433,Natal,BR,80.6,-5.79,-35.21,
434,Jega,NG,80.13,12.22,4.38,
436,Karratha,AU,77.41,-20.74,116.85,
437,Mineiros,BR,72.95,-17.57,-52.55,
